MADELEINE STOWE

MAGALI NOEL

MAGGIE SMITH

MAMIE VAN DOREN

MARGARET FIELD

MARG HELGENBERGER

MARGOT KIDDER

MARIANGELA MELATO

MARCIA CROSS

MARIA MONTEZ
MARIA PACOME
MARIA SCHELL

MARIA SCHNEIDER



MARI BLANCHARD
MARIE DAEMS

MARIE-FRANCE PISIER

MARIE-JOSE NAT

MARIE LAFORET

MARIE WINDSOR

MARILYN MONROE

MARINA BERENSON

MARINA FOÏS

MARINA VLADY


MARION COTILLARD

MARION GAME

MARTINE CAROL


MARY MARQUET

MARLENE DIETRICH

MARTINE SARCEY

MARY ANDERSON

MARY ANN MOBLEY

MARIE DUBOIS

MARILYN MONROE

MARTHE MERCADIER

MARTHE KELLER

MARTHE VILLALONGA
MARY MURPHY
MARY STEENBURGEN

MARY TYLER MOORE


MAUD ADAMS


MAUREEN O'HARA

MELINA KANAKAREDES

MELANIE GRIFFTIH

MELINA MERCOURI

MELISSA GILBERT

MERCEDES MCCAMBRIDGE


MERYL STREEP

MICHELE MERCIER

MICHELE MORGAN

MICHELINE DAX

MICHELINE PRESLE

MICHELLE DOCKERY

MICHELINE LUCCIONI
MICHELLE PFEIFFER


MILA PARELY


MILLIE PERKINS

MINNIE DRIVER
MIOU-MIOU

MIREILLE DARC

MIRIAM KARLIN

MISTY UPHAM

MONICA SCATTINI
MONIQUE MELINAND


MYLENE DEMONGEOT

MYRNA LOY

NADIA BARENTIN
NADINE ALARI

NANCY REAGAN

NATALIE WOOD

NATHALIE BAYE

NATHALIE BESANCON

NATHALIE DELON

NATASHA RICHARDSON

NICOLETTA MACHIAVELLI

NICOLE BERGER

NICOLE COURCEL

NICOLE GARCIA

NICOLE KIDMAN

NOEMIE LVOVSKY

NOOMIE RAPACE

ODETTE JOYEUX

ODETTE LAURE


ODILE VERSOIS


OLIVIA DE HAVILLAND

OLYMPIA DUKAKIS

ORNELLA MUTI

PASCALE ARBILLOT

PASCALE PETIT



PASCALE ROBERTS


PATACHOU

PATRICIA BARRY


PATRICIA NEAL
PATTY DUKE

PAULETTE DUBOST


PENELOPE CRUZ

PENNE HACKFORTH-JONES

PERRETTE PRADIER


PETULA CLARK


PHYLLIDA LAW
PHYLLIS THAXTER

POLLY BERGEN

POPPY MONTGOMERY

RACHEL WEISZ

RAQUEL WELCH

REBECCA FRONT
REGINA BIANCHI


RENEE SAINT CYR



RHONDA FLEMING

RITA HAYWORTH
ROBIN WRIGHT


ROMY SCHNEIDER

ROSAMUND PIKE

ROSARIO DAWSON

ROSSANA PODESTA

ROSY VARTE

RUBY DEE
SABINE AZEMA


SALLY FIELD
SALLY HAWKINS

SANDRA BERNHARD

SANDRA BULLOCK

SANDRA HÜLLER

SARA FORESTIER


SARAH JESSICA PARKER
SARA MONTIEL


SHELLEY WINTERS

SHIRLEY KNIGHT

SIENNA MILLER


SILVANA MANGANO


SILVANA PAMPANINI

SIMONE RENANT
SIMONE SIGNORET
SIMONE VALERE

SISSY SPACEK
SONIA PETROVNA

SOPHIA LOREN

SOPHIE BARJAC

SOPHIE DAUMIER

SOPHIE DESMARETS

SOPHIE MARCEAU



SHIRLEY MACLAINE

SHIRLEY MITCHELL

SHIRLEY TEMPLE

SOPHIA LOREN

STEFANIA SANDRELLI
STEFANIE POWERS
STELLA STEVENS




SUSAN ANSPACH
SUSAN HAYWARD

SUSANNAH YORK

